"","range","row","year_site.UID","plot_grouped_global","UID","year","value","time_since_sowing","genotype.id","date","plot_grouped","Filename","Location","platform","avg_Temperature_56","avg_Temperature_28","avg_precipitation_56","avg_precipitation_28","avg_radiation_28","avg_photothermal_28","avg_vpd_28","avg_humidity_28","avg_Temperature_14","avg_precipitation_14","avg_radiation_14","avg_photothermal_14","avg_humidity_14","avg_vpd_14","Row_per_plot"
"3214",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.011998804876543,37,"10003",2019-06-07,"8",NA,"Delley","UAV",665.445833333333,391.216666666667,118.1,41.4,6402,107761.85,13.8390749391733,2071.16666666667,226.820833333333,23.6,3342.95833333334,65318.4041666667,1045,8.17975464656106,3
"3215",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.102851924795496,55,"10003",2019-06-25,"8",NA,"Delley","UAV",795.783333333333,489.433333333333,197.6,109.8,6789.08333333334,139869.416666667,16.2909590560258,2140.54166666667,265.308333333333,39,3648.625,78371.3083333333,1088.33333333333,8.25948069659917,3
"3216",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.954839887732646,99,"10003",2019-08-08,"8",NA,"Delley","UAV",1187.74166666667,592.229166666667,168.2,115.6,6807.41666666666,166337.091666667,25.8205455194017,1950.46919656601,280.745833333333,112.6,3009.41666666666,70135.25,1096.42752989934,8.64620717028271,3
"3217",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.787013201924967,78,"10003",2019-07-18,"8",NA,"Delley","UAV",1062.30416666667,602.8,146.4,17.2,7444.08333333333,182129.4375,25.4772909369598,1934.45833333333,277.804166666667,16.4,3543.41666666666,80640.2208333333,931.833333333334,12.3252610136274,3
"3218",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.345023431819328,64,"10003",2019-07-04,"8",NA,"Delley","UAV",945.1625,556.320833333333,149.8,106.4,7040.91666666667,162672.316666667,20.1040389089289,2102.625,324.995833333333,0.800000000000011,3900.66666666667,101489.216666667,1002.625,13.1520299233324,3
"3219",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.680522883255016,71,"10003",2019-07-11,"8",NA,"Delley","UAV",1015.17083333333,595.5125,156.8,52.6,7376.79166666667,178220.908333333,22.6500375955088,2040.625,309.075,14.8,3721.25,92684.7958333333,945.5,13.5331212265696,3
"3220",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.949025420244479,94,"10003",2019-08-03,"8",NA,"Delley","UAV",1155.16666666667,586.4125,208.4,89.4,7039.58333333333,170097.958333333,27.0113347441315,1882.67752989934,306.1125,85.6,3415.125,87089.55,990.385863232674,13.4419737723638,3
"3221",2,5,"DSSB001","DSSB001_1_1","DSSB0010011","2019",0.917367475432536,86,"10003",2019-07-26,"8",NA,"Delley","UAV",1145.9125,618.820833333333,167.8,59.4,7468.04166666667,187652.033333333,30.3469382840634,1812.16666666667,315.420833333334,44.6,3853.54166666667,99039.6583333334,860,17.3013928421359,3
"3222",2,5,"DSSB003","DSSB003_1_1","DSSB0030016","2020",0.875933409155147,78,"10076",2020-07-14,"41",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3223",2,5,"DSSB003","DSSB003_1_1","DSSB0030016","2020",0.796971715686606,72,"10076",2020-07-08,"41",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
